,age,workclass,education,matrial,occupation,relationship,race,sex,work-per-week,country,salary
154,48,3,11,2,2,0,4,1,46,38,0
155,23,3,9,4,5,5,4,1,40,38,0
156,71,5,15,5,11,2,2,1,2,38,0
157,29,3,11,0,2,5,4,1,60,38,0
158,42,3,9,5,7,4,2,1,50,38,0
159,68,8,3,0,14,5,4,0,20,38,0
160,25,3,11,4,7,2,4,0,40,38,0
161,44,4,12,0,3,2,1,0,40,38,0
162,28,3,11,4,3,5,1,0,40,8,0
163,45,5,12,2,11,0,4,1,40,38,1
164,36,3,15,0,7,2,4,0,40,25,0
165,39,0,7,4,3,5,4,1,42,38,0
166,46,6,12,6,10,2,4,1,40,38,0
167,18,3,1,4,5,1,4,1,16,38,0
168,66,1,8,6,9,5,4,0,20,38,0
169,27,3,11,4,7,5,4,1,40,38,0
170,28,6,11,2,10,0,4,1,40,38,0
171,51,3,15,2,11,0,4,1,40,38,1
172,27,3,9,4,2,5,4,1,50,38,0
173,28,6,9,2,9,0,4,1,40,38,1
174,27,3,11,3,11,2,4,0,25,38,0
175,21,3,11,4,2,1,2,1,40,38,0
176,34,3,11,4,5,5,2,1,40,38,0
177,18,3,11,4,7,1,4,1,12,38,0
178,33,3,9,2,9,0,4,1,65,38,0
179,44,1,15,2,3,0,2,1,38,38,1
180,43,3,15,0,0,5,4,0,40,38,0
181,30,3,15,4,2,5,2,1,45,38,0
182,40,3,5,2,6,0,4,1,40,25,1
183,37,0,15,2,0,0,4,1,42,38,1
184,34,3,11,2,0,0,2,1,40,38,0
185,41,5,9,0,3,5,4,0,40,38,0
186,53,8,9,0,14,5,4,0,50,38,0
187,31,3,12,2,9,3,4,0,50,38,0
188,58,6,10,2,9,0,4,1,1,38,1
189,38,3,15,0,6,5,2,0,28,38,0
190,24,3,15,2,6,0,4,1,40,38,0
191,41,1,9,2,2,0,2,1,40,38,0
192,47,3,15,2,12,0,4,1,45,38,0
193,41,0,9,2,12,0,4,1,24,38,0
194,23,3,4,2,13,4,4,1,40,25,0
195,36,3,15,0,2,5,4,1,40,38,0
196,40,0,12,4,3,5,4,0,55,38,1
197,35,3,12,2,9,4,4,1,40,38,1
198,24,5,11,4,11,5,4,1,40,38,0
199,26,3,12,4,9,5,4,0,40,38,0
200,19,8,11,4,14,1,4,1,40,21,0
201,51,3,9,2,3,0,4,1,50,38,1
202,42,1,15,4,9,5,4,0,40,38,0
203,37,6,11,0,0,2,4,0,35,38,0
204,18,3,1,4,11,1,4,0,40,38,0
205,36,3,9,2,7,0,2,1,36,38,1
206,35,3,11,0,2,5,4,1,60,38,0
207,58,4,11,2,11,3,4,0,35,38,1
208,17,3,1,4,11,1,4,0,12,38,0
209,44,1,11,2,13,0,2,1,40,38,0
210,37,3,11,2,2,0,4,1,40,38,1
211,35,3,15,4,11,5,0,0,40,38,0
212,60,3,11,2,2,0,1,1,40,38,0
213,54,4,5,2,6,0,4,1,40,38,1
214,37,3,9,4,3,5,2,1,60,38,1
215,50,3,7,0,11,5,4,0,40,38,0
216,38,3,9,2,11,0,4,1,50,30,0
217,45,3,9,2,9,0,4,1,55,38,0
218,25,3,0,4,2,5,4,1,40,38,0
219,31,3,15,2,5,0,4,1,40,38,0
220,64,8,3,0,14,5,4,1,40,38,0
221,90,3,11,4,7,5,2,1,40,38,0
222,54,3,11,2,0,0,2,1,20,38,0
223,53,1,13,4,6,5,4,0,35,38,0
224,18,3,11,4,11,1,4,0,40,38,0
225,60,8,0,0,14,5,0,0,10,38,0
226,66,5,11,2,4,0,4,1,50,38,0
227,75,3,8,6,0,5,4,0,20,3,0
228,65,3,11,0,0,5,4,0,40,38,0
229,35,3,1,5,13,5,2,1,40,38,0
230,41,3,11,0,11,2,2,0,38,38,0
231,25,3,15,4,0,5,4,1,42,38,0
232,33,3,15,0,2,4,3,0,40,38,0
233,28,3,14,4,9,5,4,1,55,38,1
234,59,6,11,2,7,0,4,1,40,38,0
235,40,6,15,4,0,5,4,0,38,38,0
236,41,3,9,2,3,0,4,1,50,19,1
237,38,1,12,2,3,0,4,1,70,38,1
238,23,3,11,4,13,1,4,1,40,38,0
239,40,3,9,2,9,0,4,1,40,38,1
240,41,5,11,2,7,3,4,0,20,38,0
241,24,6,7,2,10,0,4,1,50,38,0
242,20,8,15,4,14,1,4,1,20,38,0
243,38,3,15,0,2,5,4,1,40,38,0
244,56,3,11,2,0,0,4,1,35,41,0
245,58,3,11,2,0,0,4,1,45,38,1
246,32,3,11,4,7,5,4,0,34,38,0
247,40,3,7,2,12,0,4,1,60,38,1
248,45,3,11,2,0,0,4,1,40,41,0
249,41,3,14,2,9,3,4,0,40,38,1
250,42,3,9,2,0,3,2,0,40,38,0
251,59,1,0,6,7,2,2,0,30,38,0
252,19,1,15,4,0,1,4,1,40,38,0
253,58,3,15,4,13,5,4,1,20,38,0
254,42,5,11,2,4,0,1,1,40,0,1
255,20,3,11,4,7,1,4,0,40,38,0
256,32,3,11,5,7,5,4,0,30,38,0
257,45,3,8,6,3,5,4,0,45,38,0
258,50,3,5,0,2,5,4,1,40,38,0
259,36,3,9,0,9,1,4,0,40,38,0
260,45,3,11,2,11,0,4,1,60,38,0
261,17,3,1,4,7,1,4,1,12,38,0
262,59,3,15,2,11,0,4,1,40,38,0
263,26,3,1,2,2,0,4,1,40,38,0
264,37,4,15,2,3,0,1,1,75,36,1
265,19,8,15,4,14,1,4,1,24,1,0
266,64,3,11,2,3,0,4,1,40,38,1
267,33,3,9,4,9,5,4,0,45,38,0
268,33,3,11,2,2,3,4,0,40,38,1
269,61,3,11,2,3,0,4,1,40,38,1
270,17,3,6,4,7,1,4,1,24,38,0
271,50,5,12,2,4,0,4,1,98,38,0
272,27,1,12,4,9,1,4,1,35,38,0
273,30,3,11,0,9,1,4,0,40,38,0
274,43,3,11,2,5,0,2,1,40,38,0
275,44,3,15,2,2,0,4,1,40,38,1
276,35,3,15,4,3,5,4,0,40,38,0
277,25,3,15,4,12,1,4,0,40,38,0
278,24,3,15,2,6,3,4,0,48,38,1
279,22,3,9,4,9,5,4,0,15,10,0
280,42,1,15,2,2,0,4,1,40,38,1
281,34,3,7,0,11,2,2,0,45,38,0
282,60,3,9,0,9,5,4,0,42,38,0
283,21,3,11,4,5,1,4,1,40,38,0
284,57,0,12,2,11,0,4,1,40,38,1
285,41,3,14,2,9,0,4,1,60,38,1
286,50,3,15,0,7,5,4,1,45,38,0
287,25,3,9,4,3,5,4,0,40,38,0
288,50,3,5,2,2,0,4,1,40,6,0
289,36,3,9,2,9,0,4,1,45,38,0
290,31,3,11,0,9,5,4,0,40,38,0
291,29,1,9,4,10,5,4,1,56,38,0
292,21,3,15,4,11,1,4,1,45,38,0
293,27,3,9,4,12,2,2,0,40,38,0
294,65,3,11,2,13,0,4,1,16,38,0
295,37,4,9,0,11,5,4,0,60,38,0
296,39,8,12,2,14,3,1,0,40,41,0
297,24,3,11,4,2,1,4,1,40,38,0
298,38,3,11,0,11,5,4,1,80,38,0
299,48,3,9,2,0,0,4,1,40,38,1
300,21,3,15,4,7,5,1,0,25,38,0
301,31,3,11,2,13,0,4,1,45,38,1
302,55,3,11,2,11,0,4,1,40,38,1
303,24,3,15,2,0,3,1,0,40,24,0
304,43,3,11,0,0,5,4,0,40,38,0
305,26,3,7,4,12,5,4,1,45,38,0
306,46,3,7,4,9,5,4,0,33,38,0
307,35,3,7,2,0,0,4,1,40,38,1
308,41,4,15,2,4,0,4,1,54,38,1
309,26,3,9,4,11,5,4,1,40,38,0
310,34,3,12,2,3,0,1,1,35,35,1
311,19,8,15,4,14,1,2,0,25,38,0
312,36,5,9,0,9,5,2,0,40,38,1
313,22,3,15,4,11,1,4,1,15,38,0
314,24,3,15,4,6,5,4,1,40,38,0
315,77,5,15,2,11,0,4,1,40,38,0
316,22,3,4,2,6,4,4,0,40,25,0
317,29,3,15,4,12,5,4,0,40,38,0
318,62,3,11,6,7,5,4,0,24,38,0
319,39,5,11,2,3,0,4,1,40,38,0
320,43,3,15,2,2,0,4,1,50,38,0
321,35,3,11,0,13,5,4,1,45,38,0
322,29,3,1,4,3,5,4,0,40,38,0
323,76,5,12,2,2,0,4,1,10,38,0
324,63,5,11,2,4,0,4,1,45,38,0
325,23,8,8,4,14,1,2,0,15,38,0
326,43,3,15,2,9,3,4,0,50,38,1
327,58,5,11,2,5,0,4,1,40,38,0
328,66,3,11,4,13,5,4,1,55,38,0
329,41,3,15,4,2,5,2,1,45,38,0
330,26,3,9,4,0,5,4,1,40,38,0
331,47,3,8,4,7,5,4,1,40,38,0
332,55,1,0,2,0,0,4,1,40,38,0
333,53,3,11,2,13,0,4,1,40,38,0
334,17,3,4,4,7,4,4,1,48,25,0
335,30,3,11,4,2,4,4,1,40,38,0
336,49,3,12,4,9,5,4,1,60,38,0
337,19,3,11,4,11,2,2,1,30,13,0
338,45,3,11,2,7,0,2,1,40,38,0
339,26,3,7,4,11,5,4,1,40,38,0
340,38,3,8,2,2,0,4,1,40,38,1
341,36,6,11,2,10,0,4,1,40,38,1
342,33,3,11,4,4,5,4,1,20,38,0
343,22,6,15,4,10,1,2,0,40,38,0
344,43,5,9,4,11,5,4,1,42,38,0
345,67,8,1,2,14,0,4,1,8,38,0
346,30,8,8,0,14,2,4,0,40,38,0
347,56,3,7,3,7,5,4,1,25,19,0
348,31,3,9,4,9,1,4,1,25,38,0
349,33,3,9,2,3,0,4,1,40,38,1
350,26,3,11,2,7,0,4,1,40,38,0
351,33,3,9,2,3,0,4,1,40,38,1
352,46,1,1,2,13,0,4,1,30,38,0
353,59,8,9,2,14,0,4,1,40,38,1
354,38,0,11,2,0,0,4,1,40,38,1
355,65,3,1,6,7,2,3,1,40,38,0
356,40,3,8,2,12,0,4,1,40,38,1
357,42,3,11,2,0,3,4,0,35,38,0
358,26,5,6,2,2,0,4,1,40,31,0
359,36,3,0,2,7,3,4,0,24,38,0
360,62,3,12,2,9,0,4,1,40,38,1
361,43,3,9,2,13,0,4,1,45,38,0
362,43,3,9,0,3,5,4,1,45,38,1
363,22,3,11,3,11,5,4,1,55,38,0
364,28,3,11,2,2,0,4,1,40,38,0
365,56,5,15,2,11,0,4,1,45,38,0
366,22,3,7,4,11,5,4,0,15,38,0
367,57,3,9,0,3,5,4,0,45,38,1
368,39,3,11,0,11,2,4,0,40,38,0
369,26,0,15,4,0,2,4,0,15,38,0
370,17,3,1,4,7,1,4,1,10,38,0
371,40,6,8,2,6,0,4,1,38,38,1
372,45,3,11,2,6,0,2,1,40,38,0
373,44,3,11,4,2,5,2,1,40,38,0
374,20,1,15,4,0,1,4,0,10,38,0
375,33,3,11,2,2,3,4,0,40,38,0
376,23,3,15,4,11,5,4,1,40,38,0
377,46,5,12,0,3,5,4,1,30,38,0
378,38,3,11,2,11,0,4,1,50,38,0
379,54,3,11,0,13,5,4,1,40,38,0
380,46,3,4,0,2,5,4,0,45,38,0
381,25,3,15,2,2,0,4,1,40,38,0
382,46,3,15,0,11,5,4,0,40,38,0
383,36,1,15,2,13,3,4,0,40,38,0
384,23,3,11,4,7,5,4,0,25,38,0
385,29,3,11,5,6,5,4,1,40,38,0
386,44,3,15,2,0,3,4,0,6,38,1
387,19,3,15,4,0,1,4,0,16,38,0
388,19,3,11,4,7,4,4,0,40,38,0
389,35,3,11,2,7,3,4,0,40,38,1
390,27,3,9,4,2,5,4,1,50,38,0
391,46,5,7,5,2,5,4,1,40,38,0
392,34,6,9,2,3,0,4,1,45,41,1
393,34,3,11,4,7,5,4,0,35,38,0
394,44,3,15,2,12,0,4,1,40,38,0
395,45,3,15,0,5,2,4,0,40,38,0
396,20,8,11,4,14,4,4,0,35,38,0
397,25,3,9,2,3,0,4,1,55,38,1
398,52,4,9,2,3,0,4,1,50,38,1
399,20,3,15,4,5,1,4,1,40,38,0
400,28,3,15,4,7,5,4,0,40,38,0
401,50,6,9,2,10,0,4,1,40,38,1
402,34,3,8,0,12,5,4,0,64,38,0
403,28,3,5,2,5,0,3,1,40,32,0
404,41,3,12,2,3,0,4,1,65,38,1
405,28,3,11,2,0,0,4,1,40,38,0
406,46,5,11,2,2,0,4,1,25,38,0
407,28,8,15,2,14,3,4,0,40,38,1
408,32,3,15,2,3,0,4,1,50,38,0
409,41,1,15,0,7,5,2,0,24,38,0
410,24,3,11,4,5,2,2,0,40,38,0
411,33,3,15,0,3,2,4,0,40,38,0
412,46,3,10,2,3,0,4,1,60,38,1
413,31,6,15,2,6,0,4,1,40,38,0
414,35,3,2,0,2,5,4,1,50,38,1
415,52,3,3,2,6,0,4,1,40,25,0
416,30,3,1,4,7,1,4,0,19,38,0
417,34,1,1,5,6,5,2,1,40,38,0
418,34,6,11,0,13,2,4,0,40,38,0
419,20,3,15,2,11,0,4,1,30,38,0
420,17,3,1,4,5,1,4,1,18,38,0
421,32,6,9,2,3,3,4,0,40,38,1
422,29,3,11,0,4,5,4,1,40,38,0
423,33,3,0,4,2,2,4,0,35,38,0
424,25,3,11,2,13,0,4,1,60,38,0
425,36,0,12,4,9,5,4,1,40,38,0
426,23,3,11,4,5,5,4,1,72,5,0
427,63,4,11,2,3,0,4,1,40,38,1
428,47,1,12,2,9,0,4,1,40,38,0
429,80,8,11,6,14,5,4,1,24,38,0
430,17,8,1,4,14,1,4,1,40,38,0
431,40,5,9,3,9,5,4,0,40,38,0
432,30,3,7,2,7,3,4,0,25,38,1
433,27,3,15,4,2,1,1,1,40,29,0
434,33,3,12,2,9,0,4,1,50,38,1
435,34,1,11,4,4,5,2,1,60,38,0
436,34,1,15,4,10,5,4,0,40,38,0
437,23,3,15,2,0,0,4,1,40,38,0
438,42,1,15,2,0,3,4,0,40,38,0
439,29,3,9,4,9,5,4,1,40,38,0
440,45,3,11,0,0,5,4,0,28,38,0
441,24,0,11,4,1,1,4,1,40,38,0
442,44,3,15,2,9,0,4,1,40,38,1
443,27,3,6,4,2,4,4,1,40,25,0
444,20,3,15,4,11,5,4,1,35,38,0
445,44,3,11,6,3,2,2,0,40,38,0
446,51,3,11,2,2,0,0,1,40,38,0
447,20,3,11,2,6,0,4,1,40,38,0
448,17,8,1,4,14,1,4,0,5,38,0
449,19,3,11,4,6,1,2,0,40,38,0
450,45,4,15,2,2,0,4,1,55,38,1
451,60,3,11,2,2,0,4,1,40,38,1
452,42,3,7,2,3,0,2,1,40,41,1
453,44,5,11,2,11,3,4,0,40,38,1
454,40,3,8,2,6,0,1,1,40,38,1
455,30,3,11,2,3,3,4,0,40,38,0
456,38,3,15,2,13,0,2,1,50,38,0
457,23,3,11,2,13,0,4,1,60,38,0
458,32,8,15,2,14,0,4,1,40,38,0
459,44,3,7,4,4,1,4,1,40,38,0
460,54,1,11,2,13,0,2,1,40,38,0
461,32,3,9,2,9,0,4,1,50,38,0
462,50,3,3,3,2,2,4,1,40,38,0
463,24,3,9,4,12,5,4,0,20,38,0
464,37,3,11,2,0,3,4,0,60,38,0
465,52,3,11,0,13,2,4,1,40,38,0
466,38,3,15,2,13,0,4,1,40,38,0
467,49,3,12,2,3,0,4,1,45,38,1
468,30,3,9,2,12,3,4,0,16,38,1
469,60,3,15,4,9,2,4,1,40,38,1
470,22,8,15,4,14,1,4,1,40,38,0
471,35,3,11,4,2,5,4,1,40,38,0
472,30,3,11,4,13,5,4,1,60,38,0
473,67,3,8,0,7,5,4,0,24,38,0
474,46,3,9,4,2,5,4,0,40,38,0
475,17,3,6,4,7,5,4,1,6,38,0
476,22,3,15,4,5,1,4,1,30,38,0
477,27,3,0,4,7,5,4,1,40,38,0
478,23,3,11,4,7,2,4,0,35,38,0
479,33,3,7,2,2,0,4,1,45,31,0
480,43,5,15,2,2,0,4,1,20,38,0
481,28,6,9,4,9,5,4,1,20,38,0
482,41,3,11,3,2,2,4,0,40,38,0
483,52,8,2,4,14,4,2,1,40,38,0
484,25,3,15,3,0,1,2,0,20,38,0
485,63,8,3,2,14,0,4,1,35,38,0
486,59,1,11,2,13,0,4,1,45,38,0
487,45,1,9,0,9,2,4,0,40,38,0
488,38,3,9,2,11,0,4,1,60,38,1
489,40,3,11,4,7,5,4,0,35,38,0
490,46,0,11,0,0,5,4,1,40,38,0
491,35,3,7,4,3,5,4,0,60,38,0
492,34,3,11,0,9,2,4,0,25,38,0
493,33,3,9,4,2,1,4,1,20,38,0
494,41,3,11,0,0,2,4,0,36,38,0
495,20,3,15,4,6,1,4,1,40,38,0
496,23,3,4,4,7,1,4,1,40,7,0
497,26,3,15,4,9,5,4,0,35,38,0
498,72,8,11,2,14,0,4,1,20,38,0
499,23,1,11,4,4,5,4,1,40,30,0
500,62,1,11,2,13,0,4,1,40,38,0
501,52,3,15,2,0,0,4,1,40,38,0
502,58,3,15,0,7,2,4,0,42,9,0
503,25,3,9,4,11,5,4,0,40,38,0
504,24,3,9,4,3,5,2,1,40,38,0
505,19,3,15,4,10,1,4,1,8,38,0
506,43,3,15,2,3,0,4,1,40,38,0
507,47,1,11,5,0,2,2,0,40,38,0
508,39,3,11,0,7,2,4,0,40,38,0
509,49,3,8,3,5,2,4,1,42,38,0
510,53,8,4,6,14,2,2,0,30,38,0
511,32,3,8,4,2,5,4,1,45,38,0
512,34,3,15,2,9,0,4,1,50,38,1
513,28,3,11,0,2,5,4,1,45,38,0
514,57,8,8,6,14,2,4,0,38,38,0
515,25,3,15,4,0,5,0,0,20,38,0
516,20,8,15,4,14,1,4,1,24,38,0
517,21,8,15,4,14,2,4,0,35,38,0
518,34,3,9,2,9,0,4,1,50,38,1
519,38,4,9,2,3,0,4,1,80,38,1
520,50,3,11,2,3,0,4,1,50,38,1
521,24,1,15,0,5,5,2,1,50,38,0
522,37,1,15,2,12,0,4,1,45,38,1
523,44,3,15,0,6,2,4,1,58,38,1
524,28,3,15,2,11,3,4,0,40,38,0
525,42,3,9,2,3,0,4,1,40,38,1
526,74,3,15,0,0,5,4,0,9,38,0
527,38,5,11,2,2,0,4,1,50,38,0
528,44,5,12,2,9,0,4,1,40,38,0
529,44,3,1,0,6,2,3,0,46,32,0
530,26,3,11,4,6,5,4,1,40,38,0
531,36,3,11,2,7,0,2,1,40,38,0
532,41,3,7,2,3,3,4,0,50,38,1
533,67,3,14,2,9,0,4,1,48,38,1
534,39,1,2,2,12,0,4,1,50,38,0
535,57,3,3,6,8,5,2,0,30,38,0
536,29,3,8,5,2,5,4,1,40,38,0
537,31,4,9,4,4,5,4,0,45,38,0
538,34,8,11,4,14,2,2,0,40,38,0
539,44,3,15,2,13,0,4,1,40,38,0
540,29,3,10,4,9,1,4,1,40,38,0
541,30,3,15,4,5,2,4,0,40,38,0
542,27,3,11,4,13,5,4,1,40,38,0
543,27,3,15,2,11,0,4,1,50,38,0
544,32,3,11,4,5,5,4,0,45,38,0
545,58,3,0,2,7,3,4,0,8,38,0
546,35,1,15,2,10,0,4,1,40,38,0
547,21,3,11,4,5,1,4,1,36,38,0
548,28,3,15,4,2,2,4,1,40,38,0
549,46,5,15,0,3,5,4,1,50,38,0
550,36,5,11,5,7,2,4,0,40,38,0
551,72,3,1,6,0,2,4,0,40,38,0
552,35,3,11,2,6,3,2,0,40,38,0
553,33,0,8,0,2,2,2,0,40,38,1
554,69,3,1,4,6,5,4,0,40,38,0
555,35,3,11,2,6,0,4,1,40,38,0
556,31,3,11,5,0,2,4,0,20,41,0
557,34,3,11,2,12,3,4,0,32,38,0
558,30,3,1,2,7,0,4,1,40,25,0
559,28,3,9,4,13,5,4,1,55,38,0
560,54,3,9,2,11,0,4,1,35,38,1
561,47,3,15,2,9,0,4,1,50,38,1
562,24,3,11,4,5,2,2,0,40,38,0
563,52,5,9,2,9,0,4,1,60,38,1
564,20,3,11,4,5,1,0,1,48,38,0
565,43,4,12,2,3,0,4,1,45,38,0
566,45,3,5,5,7,2,4,0,40,25,0
567,29,5,11,5,2,5,4,1,35,38,0
568,47,3,12,0,3,2,4,1,42,38,0
569,24,3,11,4,2,1,4,1,40,38,0
570,51,3,11,2,9,0,4,1,40,38,0
571,17,3,1,4,11,1,4,1,12,38,0
572,37,3,8,2,2,0,4,1,40,38,1
573,27,3,10,4,9,5,4,0,70,38,0
574,29,3,9,2,3,3,4,1,40,38,1
575,18,8,2,4,14,1,4,1,25,38,0
576,36,5,7,0,11,2,4,0,35,38,0
577,58,1,9,4,9,5,4,0,40,38,0
578,26,5,15,2,2,0,4,1,45,38,0
579,65,8,15,2,14,0,4,1,30,38,1
